Date	Volume	Movie Name
2014/11/12	0	第七傳人
2014/11/13	0	第七傳人
2014/11/14	0	第七傳人
2014/11/15	2	第七傳人
2014/11/16	0	第七傳人
2014/11/17	1	第七傳人
2014/11/18	3	第七傳人
2014/11/19	1	第七傳人
2014/11/20	1	第七傳人
2014/11/21	0	第七傳人
2014/11/22	0	第七傳人
2014/11/23	0	第七傳人
2014/11/24	0	第七傳人
2014/11/25	1	第七傳人
2014/11/26	0	第七傳人
2014/11/27	0	第七傳人
2014/11/28	0	第七傳人
2014/11/29	0	第七傳人
2014/11/30	0	第七傳人
2014/12/1	0	第七傳人
2014/12/2	0	第七傳人
2014/12/3	4	第七傳人
2014/12/4	0	第七傳人
2014/12/5	0	第七傳人
2014/12/6	0	第七傳人
2014/12/7	3	第七傳人
2014/12/8	3	第七傳人
2014/12/9	146	第七傳人
2014/12/10	84	第七傳人
2014/12/11	36	第七傳人
2014/12/12	50	第七傳人
2014/12/13	28	第七傳人
2014/12/14	38	第七傳人
2014/12/15	38	第七傳人
2014/12/16	26	第七傳人
2014/12/17	14	第七傳人
2014/12/18	15	第七傳人
2014/12/19	9	第七傳人
2014/12/20	9	第七傳人
2014/12/21	2	第七傳人
2014/12/22	6	第七傳人
2014/12/23	5	第七傳人
2014/12/24	9	第七傳人
2014/12/25	13	第七傳人
2014/12/26	13	第七傳人
2014/12/27	32	第七傳人
2014/12/28	45	第七傳人
2014/12/29	41	第七傳人
2014/12/30	41	第七傳人
2014/12/31	69	第七傳人
2015/1/1	21	第七傳人
2015/1/2	29	第七傳人
2015/1/3	34	第七傳人
2015/1/4	7	第七傳人
2015/1/5	12	第七傳人
2015/1/6	1	第七傳人
2015/1/7	14	第七傳人
2015/1/8	12	第七傳人
2015/1/9	20	第七傳人
2015/1/10	1	第七傳人
2015/1/11	0	第七傳人
2015/1/12	37	第七傳人
2015/1/13	52	第七傳人
2015/1/14	33	第七傳人
2015/1/15	3	第七傳人
2015/1/16	3	第七傳人
2015/1/17	5	第七傳人
2015/1/18	6	第七傳人
2015/1/19	5	第七傳人
2015/1/20	4	第七傳人
2015/1/21	5	第七傳人
2015/1/22	3	第七傳人
2015/1/23	7	第七傳人
2015/1/24	3	第七傳人
2015/1/25	3	第七傳人
2015/1/26	1	第七傳人
2015/1/27	4	第七傳人
2015/1/28	4	第七傳人
2015/1/29	2	第七傳人
2015/1/30	1	第七傳人
2015/1/31	1	第七傳人
2015/2/1	6	第七傳人
2015/2/2	7	第七傳人
2015/2/3	1	第七傳人
2015/2/4	2	第七傳人
2015/2/5	2	第七傳人
2015/2/6	9	第七傳人
2015/2/7	1	第七傳人
2015/2/8	0	第七傳人
2015/2/9	2	第七傳人
2015/2/10	0	第七傳人
2015/2/11	0	第七傳人
2015/2/12	1	第七傳人
2015/2/13	11	第七傳人
2015/2/14	6	第七傳人
2015/2/15	1	第七傳人
2015/2/16	1	第七傳人
2015/2/17	2	第七傳人
2015/2/18	0	第七傳人
2015/2/19	0	第七傳人
2015/2/20	3	第七傳人
2015/2/21	0	第七傳人
2015/2/22	0	第七傳人
2015/2/23	2	第七傳人
2015/2/24	2	第七傳人
2015/2/25	0	第七傳人
2015/2/26	3	第七傳人
2015/2/27	1	第七傳人
2015/2/28	0	第七傳人
2015/3/1	0	第七傳人
2015/3/2	2	第七傳人
2015/3/3	1	第七傳人
2015/3/4	0	第七傳人
2015/3/5	0	第七傳人
2015/3/6	0	第七傳人
2015/3/7	0	第七傳人
2015/3/8	1	第七傳人
2015/3/9	1	第七傳人
2015/3/10	1	第七傳人
